country,wikipedia_page,export_partners,import_partners
"United States","https://en.wikipedia.org/wiki/Economy_of_the_United_States","European Union,Canada,Mexico,China,Japan","China,European Union,Mexico,Canada,Japan"
"China","https://en.wikipedia.org/wiki/GDP_of_China","",""
"Japan","https://en.wikipedia.org/wiki/Economy_of_Japan","China,United States,ASEAN,European Union,South Korea,Saudi Arabia,United Kingdom,Turkey,Australia,India","China,ASEAN,European Union,United States,United Kingdom,Australia,South Korea,Saudi Arabia,United Arab Emirates,African Union"
"Germany","https://en.wikipedia.org/wiki/Economy_of_Germany","United States,China,France,Netherlands,United Kingdom,Poland","China,Netherlands,Poland,France,Italy,Czechia"
"India","https://en.wikipedia.org/wiki/Economy_of_India","United States,United Arab Emirates,China,Bangladesh,Netherlands","China,United Arab Emirates,United States,Russia,Saudi Arabia"
"United Kingdom","https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom","European Union,Germany,Netherlands,France,Ireland,Italy,Belgium,United States,China,Switzerland","European Union,Germany,Netherlands,France,Spain,Belgium,United States,China,Turkey"
"France","https://en.wikipedia.org/wiki/Economy_of_France","Germany,Spain,Italy,United States,Belgium,United Kingdom","Germany,Belgium,Netherlands,Italy,Spain,United Kingdom,United States,China"
"Italy","https://en.wikipedia.org/wiki/Economy_of_Italy","Germany,France,United States,Switzerland,Spain,United Kingdom","Germany,France,China,Netherlands,Spain,Belgium"
"Canada","https://en.wikipedia.org/wiki/Economy_of_Canada","United States,European Union,China,Japan,Mexico","United States,China,European Union,Mexico,Japan"
"Brazil","https://en.wikipedia.org/wiki/Economy_of_Brazil","China,United States,Argentina,Netherlands,Chile","China,United States,Argentina,Germany,India"
"Russia","https://en.wikipedia.org/wiki/Economy_of_Russia","China,Netherlands,United States,United Kingdom,Italy,Belarus,Turkey,Germany,Kazakhstan,South Korea","China,Germany,Belarus,South Korea,Poland,Italy,Japan,Netherlands,France,United States"
